[2025-10-22 22:41:01] Regel: sommer | Zeit: 22:41 | Tor: ZU
[2025-10-22 22:42:01] Regel: sommer | Zeit: 22:42 | Tor: ZU
[2025-10-22 22:43:01] Regel: sommer | Zeit: 22:43 | Tor: ZU
[2025-10-22 22:44:01] Regel: sommer | Zeit: 22:44 | Tor: ZU
[2025-10-22 22:45:01] Regel: sommer | Zeit: 22:45 | Tor: ZU → Schließimpuls gesendet
[2025-10-22 22:46:01] Regel: sommer | Zeit: 22:46 | Tor: ZU
[2025-10-22 22:47:01] Regel: sommer | Zeit: 22:47 | Tor: ZU
[2025-10-22 22:48:02] Regel: sommer | Zeit: 22:48 | Tor: ZU
[2025-10-22 22:49:01] Regel: sommer | Zeit: 22:49 | Tor: ZU
[2025-10-22 22:50:01] Regel: sommer | Zeit: 22:50 | Tor: ZU → Schließimpuls gesendet
[2025-10-22 22:51:01] Regel: sommer | Zeit: 22:51 | Tor: ZU
[2025-10-22 22:52:01] Regel: sommer | Zeit: 22:52 | Tor: ZU
[2025-10-22 22:53:01] Regel: sommer | Zeit: 22:53 | Tor: ZU
[2025-10-22 22:54:01] Regel: sommer | Zeit: 22:54 | Tor: ZU
[2025-10-22 22:55:01] Regel: sommer | Zeit: 22:55 | Tor: ZU → Schließimpuls gesendet
[2025-10-22 22:56:01] Regel: sommer | Zeit: 22:56 | Tor: ZU
[2025-10-22 22:57:01] Regel: sommer | Zeit: 22:57 | Tor: ZU
[2025-10-22 22:58:01] Regel: sommer | Zeit: 22:58 | Tor: ZU
[2025-10-22 22:59:01] Regel: sommer | Zeit: 22:59 | Tor: ZU
[2025-10-22 23:00:01] Regel: sommer | Zeit: 23:00 | Tor: ZU → Schließimpuls gesendet
[2025-10-22 23:01:01] Regel: sommer | Zeit: 23:01 | Tor: ZU
[2025-10-22 23:02:01] Regel: sommer | Zeit: 23:02 | Tor: ZU
[2025-10-22 23:03:02] Regel: sommer | Zeit: 23:03 | Tor: ZU
[2025-10-22 23:04:01] Regel: sommer | Zeit: 23:04 | Tor: ZU
[2025-10-22 23:05:01] Regel: sommer | Zeit: 23:05 | Tor: ZU → Schließimpuls gesendet
[2025-10-22 23:06:01] Regel: sommer | Zeit: 23:06 | Tor: ZU
[2025-10-22 23:07:01] Regel: sommer | Zeit: 23:07 | Tor: ZU
[2025-10-22 23:08:01] Regel: sommer | Zeit: 23:08 | Tor: ZU
[2025-10-22 23:09:02] Regel: sommer | Zeit: 23:09 | Tor: ZU
[2025-10-22 23:10:01] Regel: sommer | Zeit: 23:10 | Tor: ZU → Schließimpuls gesendet
[2025-10-22 23:11:01] Regel: sommer | Zeit: 23:11 | Tor: ZU
[2025-10-22 23:12:01] Regel: sommer | Zeit: 23:12 | Tor: ZU
[2025-10-22 23:13:01] Regel: sommer | Zeit: 23:13 | Tor: ZU
[2025-10-22 23:14:01] Regel: sommer | Zeit: 23:14 | Tor: ZU
[2025-10-22 23:15:01] Regel: sommer | Zeit: 23:15 | Tor: ZU → Schließimpuls gesendet
[2025-10-22 23:16:01] Regel: sommer | Zeit: 23:16 | Tor: ZU
[2025-10-22 23:17:01] Regel: sommer | Zeit: 23:17 | Tor: ZU
[2025-10-22 23:18:01] Regel: sommer | Zeit: 23:18 | Tor: ZU
[2025-10-22 23:19:02] Regel: sommer | Zeit: 23:19 | Tor: ZU
[2025-10-22 23:20:01] Regel: sommer | Zeit: 23:20 | Tor: ZU → Schließimpuls gesendet
[2025-10-22 23:21:01] Regel: sommer | Zeit: 23:21 | Tor: ZU
[2025-10-22 23:22:01] Regel: sommer | Zeit: 23:22 | Tor: ZU
[2025-10-22 23:23:01] Regel: sommer | Zeit: 23:23 | Tor: ZU
[2025-10-22 23:24:01] Regel: sommer | Zeit: 23:24 | Tor: ZU
[2025-10-22 23:25:01] Regel: sommer | Zeit: 23:25 | Tor: ZU → Schließimpuls gesendet
[2025-10-22 23:26:01] Regel: sommer | Zeit: 23:26 | Tor: ZU
[2025-10-22 23:27:01] Regel: sommer | Zeit: 23:27 | Tor: ZU
